company_id,company_name,city,latitude,longitude,size_category,revenue,gross_margin,operating_expenses,profit,profit_margin,num_projects,leads_count,conversion_rate,founded_year,employees
CONST_0000,United Works,New York,40.689384662527665,-74.02941369569491,Small,9556428.76,0.2964,1813798.45,1018715.46,0.1066,16,34,0.1811,2007,31
CONST_0001,InnovativeSmith & Sons Constructors,Boston,42.269297592447884,-71.20013037013352,Small,3621062.26,0.2724,437873.62,548397.21,0.1514,15,17,0.3281,2000,10
CONST_0002,EliteSmith & Sons Works,Los Angeles,34.0381781502643,-118.24701934000666,Small,1119384.65,0.3384,206518.89,172326.04,0.1539,5,11,0.2456,1985,4
CONST_0003,Professional Works,Miami,25.54386657531763,-80.29618964082348,Medium,27006234.98,0.1916,5000340.77,173738.76,0.0064,8,25,0.4266,2002,85
CONST_0004,Professional Properties Partners,Los Angeles,33.86463232277935,-118.38037821388863,Large,323165411.46,0.2052,46678343.55,19635146.01,0.0608,10,10,0.2218,1977,867
CONST_0005,Professional Infrastructure Enterprises,Chicago,41.99607163447007,-87.71962079394557,Medium,23235920.99,0.1627,3407486.2,373269.31,0.0161,11,24,0.1613,1963,77
CONST_0006,ABC Constructors,Los Angeles,34.06090470682382,-118.27360073504659,Small,4847869.17,0.1551,563243.44,188582.65,0.0389,7,4,0.2074,1985,12
CONST_0007,Modern Properties,San Francisco,37.71386779826527,-122.45101658968098,Small,7253064.4,0.3261,1404578.46,960599.19,0.1324,3,17,0.3375,2011,32
CONST_0008,Jones Infrastructure,Miami,25.762211345664248,-80.21525871333752,Small,4843970.1,0.3136,1109799.99,409283.34,0.0845,3,14,0.2514,2001,17
CONST_0009,Miller Properties,Boston,42.252846816556435,-71.15815861794032,Large,483101282.72,0.2004,84343336.93,12449125.5,0.0258,7,14,0.1873,1968,1437
CONST_0010,Quality Building Inc,Boston,42.338667551674384,-71.12781942104642,Small,5030048.48,0.2606,950198.84,360524.24,0.0717,10,13,0.2731,1965,13
CONST_0011,AdvancedSmith & Associates Constructors,Chicago,41.72303365689339,-87.62294370251941,Small,2678666.59,0.1582,505287.44,-81642.85,-0.0305,4,27,0.1209,2006,12
CONST_0012,Jones Properties,Seattle,47.62894599346041,-122.20138572457175,Large,444802709.02,0.2016,88514674.64,1152358.67,0.0026,3,22,0.2271,1997,1204
CONST_0013,Jones Builders,Houston,29.84579977864949,-95.19094061426745,Medium,26180325.08,0.3276,5959670.02,2615800.7,0.0999,9,17,0.3009,1957,70
CONST_0014,Modern Development Associates,Los Angeles,34.04967123744289,-118.33265144296256,Medium,32732344.13,0.1687,5078664.44,444426.12,0.0136,4,19,0.2156,1977,98
CONST_0015,ReliableSmith & Associates Infrastructure,New York,40.7665960003692,-74.0071583319782,Medium,19207410.73,0.2498,3568749.01,1230005.05,0.064,8,30,0.218,2009,51
CONST_0016,Quality Constructors,Los Angeles,34.08635908059487,-118.22229062558698,Small,4465879.56,0.3202,658888.28,771208.42,0.1727,3,22,0.2628,2015,17
CONST_0017,Jones Building,Boston,42.279206310860964,-71.01392259615112,Small,3902956.88,0.3197,470279.76,777628.09,0.1992,17,12,0.1353,1985,10
CONST_0018,AdvancedSmith & Associates Building,Boston,42.3796346472547,-71.174156537166,Medium,38078675.09,0.3092,8891401.14,2880946.22,0.0757,3,22,0.1071,2007,102
CONST_0019,Innovative Constructors,Boston,42.17337348074083,-70.96226079980275,Small,1349512.61,0.2107,243671.19,40607.83,0.0301,5,46,0.165,1965,3
CONST_0020,Miller Builders,Dallas,32.702776356854486,-96.87625207384326,Small,3906608.26,0.309,549366.15,657921.28,0.1684,6,28,0.3362,1997,16
CONST_0021,Reliable Construction,New York,40.68101530934894,-73.8404538374621,Large,337221767.23,0.2533,66961013.24,18470496.85,0.0548,5,21,0.207,1996,1620
CONST_0022,ABC Construction,Miami,25.68017290634781,-80.51592673400691,Medium,38146314.38,0.2448,4374433.33,4965110.61,0.1302,4,16,0.103,1959,117
CONST_0023,ABC Infrastructure,New York,40.84512638071512,-73.98609403044266,Small,8708408.57,0.2817,1083675.79,1369820.15,0.1573,5,21,0.3127,1982,24
CONST_0024,QualitySmith & Associates Development,Boston,42.488154076167746,-71.12579748273166,Medium,35037586.8,0.3141,6927726.82,4077066.55,0.1164,4,13,0.2034,1975,104
